trade_id,signal_date,index_symbol,setup_key,direction,option_type,mapped_option_type,strike,expiry_used,expiry_method,opened_at,exited_at,entry_premium,exit_premium,lots,lot_size,qty,realized_pnl,snapshot_count,min_ltp,max_ltp,mfe_amount,mae_amount,mfe_pct,mae_pct,hit_30,hit_50,hit_60,first_hit_30_at,first_hit_50_at,first_hit_60_at,R1_shadow_pnl,R2_shadow_pnl,R3_shadow_pnl,R4_shadow_pnl,R5_shadow_pnl,R1_delta_vs_actual,R2_delta_vs_actual,R3_delta_vs_actual,R4_delta_vs_actual,R5_delta_vs_actual,data_quality,limitations
8dca466f-5352-4488-a85d-d3efea3420f1,2026-05-04,SENSEX,BASELINE,BEARISH,PUT,PE,77600.0000,,,2026-05-04 10:26:16.668+00,2026-05-04 10:26:16.768+00,547.83,547.83,1,10,10,0,0,,,,,,,,,,,,,,,,,,,,,,,insufficient_no_snapshots,Trade window predates snapshot collection start (2026-05-18) or no overlap.
ca24a872-4f9c-4e20-b264-e0fc17a2ccba,2026-05-05,SENSEX,BASELINE,BULLISH,CALL,CE,77000.0000,,,2026-05-05 09:40:25.886+00,2026-05-05 10:00:20.884+00,547.78,473.3,1,10,10,-744.8,0,,,,,,,,,,,,,,,,,,,,,,,insufficient_no_snapshots,Trade window predates snapshot collection start (2026-05-18) or no overlap.
e7e34dc6-9529-475f-9f82-cdffc814fef4,2026-05-06,SENSEX,BASELINE,BEARISH,PUT,PE,77000.0000,,,2026-05-06 07:05:09.519+00,2026-05-06 10:06:22.361+00,266.45,311.4,2,10,20,899,0,,,,,,,,,,,,,,,,,,,,,,,insufficient_no_snapshots,Trade window predates snapshot collection start (2026-05-18) or no overlap.
05d70bcc-a9e7-4e64-8fb7-055560cbf47c,2026-05-08,MIDCPNIFTY,VWAP_RECLAIM,BULLISH,CALL,CE,14575.0000,,,2026-05-08 06:21:58.739+00,2026-05-08 09:59:21.757+00,277.52,224.45,1,140,140,-7429.8,0,,,,,,,,,,,,,,,,,,,,,,,insufficient_midcpnifty_not_snapshotted,MIDCPNIFTY is not part of the snapshot universe (NIFTY/BANKNIFTY/SENSEX only).
279ed0ad-dbfa-450a-afc0-5acc27a1a7b3,2026-05-13,SENSEX,BASELINE,BEARISH,PUT,PE,74200.0000,,,2026-05-13 04:14:31.331+00,2026-05-13 05:09:58.935+00,268.67,188.07,3,10,30,-2418,0,,,,,,,,,,,,,,,,,,,,,,,insufficient_no_snapshots,Trade window predates snapshot collection start (2026-05-18) or no overlap.
97106a37-93fa-40f5-b666-f27dc6acc7fe,2026-05-14,SENSEX,BASELINE,BULLISH,CALL,CE,75500.0000,,,2026-05-14 07:44:27.05+00,2026-05-14 09:50:55.058+00,145.58,153.3,5,10,50,386,0,,,,,,,,,,,,,,,,,,,,,,,insufficient_no_snapshots,Trade window predates snapshot collection start (2026-05-18) or no overlap.
ede5c136-b5e4-469e-ac07-84b88ffe6c0a,2026-05-15,SENSEX,BASELINE,BULLISH,CALL,CE,75700.0000,,,2026-05-15 05:21:23.32+00,2026-05-15 06:10:32.601+00,734.14,552.58,1,10,10,-1815.6,0,,,,,,,,,,,,,,,,,,,,,,,insufficient_no_snapshots,Trade window predates snapshot collection start (2026-05-18) or no overlap.
e927944b-3349-4651-aaa3-4b32f2de0b8b,2026-05-18,NIFTY,BASELINE,BULLISH,CALL,CE,23650.0000,2026-05-19,"inferred_min_dist_at_open (best_err=0.932, 2nd_err=3.791)",2026-05-18 07:36:05.777+00,2026-05-18 09:50:20.491+00,53.98,111.2,2,75,150,8583,24,77.00,121.30,67.32,23.02,124.71,42.65,true,true,true,2026-05-18 07:40:00+00,2026-05-18 07:40:00+00,2026-05-18 07:40:00+00,2429.10,4858.20,5506.05,6315.75,8583.00,-6153.90,-3724.80,-3076.95,-2267.25,0.00,approximate_expiry_ambiguous,"Multiple candidate expiries with similar first-LTP proximity; expiry inference uncertain. BE-trail approximate / upper-bound — 5-min snapshot cadence, intra-window tick ordering unknown."
8fac3dd7-5a5c-4ef9-97e4-09bb0b9e9a53,2026-05-18,SENSEX,BASELINE,BULLISH,CALL,CE,75300.0000,2026-05-21,"inferred_min_dist_at_open (best_err=0.483, 2nd_err=1.335)",2026-05-18 07:36:27.855+00,2026-05-18 09:50:20.589+00,411.14,644.25,2,10,20,4662.2,25,518.25,695.75,284.61,107.11,69.22,26.05,true,true,true,2026-05-18 07:40:00+00,2026-05-18 07:50:00+00,2026-05-18 08:20:00+00,2466.84,4933.68,3564.52,4386.80,4662.20,-2195.36,271.48,-1097.68,-275.40,0.00,approximate_expiry_ambiguous,"Multiple candidate expiries with similar first-LTP proximity; expiry inference uncertain. BE-trail approximate / upper-bound — 5-min snapshot cadence, intra-window tick ordering unknown."
e2060ff5-9b59-492c-8ff6-0c615c7a1dc4,2026-05-19,BANKNIFTY,EMA_PULLBACK,BULLISH,CALL,CE,53600.0000,2026-05-26,"inferred_min_dist_at_open (best_err=0.012, 2nd_err=1.301)",2026-05-19 06:14:36.482+00,2026-05-19 09:50:12.931+00,721.33,707.8,1,30,30,-405.9,43,577.00,756.75,35.42,-144.33,4.91,-20.01,false,false,false,,,,-405.90,-405.90,-405.90,-405.90,-405.90,-0.00,-0.00,-0.00,-0.00,-0.00,good_5min,"BE-trail approximate / upper-bound — 5-min snapshot cadence, intra-window tick ordering unknown. Long-premium-only model (paper trader buys options)."
