scan_date,symbol,sector,action,action_class,leader_class,score,fundamental_score,risk_score,rsi14,pct_from_52w_high,warn_extended,warn_rsi_overext,warn_rs_weak,warn_bearish,warn_inside_supply,return_1d,return_3d,return_5d,return_10d,mfe,mae,outcome_label,m0_shadow,m0_q,m1_shadow,m1_q,m2_shadow,m2_q,m3_shadow,m3_q,m4_shadow,m4_q,m5_shadow,m5_q,m6_shadow,m6_q
2026-05-11,AARTIIND,,WATCHLIST,WATCHLIST,,68.600,12,10,58.900,-7.190,false,false,false,false,false,-3.502,-3.605,-5.005,-0.597,3.275,-9.248,entry_reached_no_resolution,68.600,Q5,56.600,Q5,68.600,Q5,68.600,Q5,58.600,Q5,68.600,Q5,56.600,Q5
2026-05-11,ABB,,AVOID / NO TRADE,AVOID,,40,14,10,35,-18.850,false,false,false,true,false,-0.307,1.276,1.032,6.411,14.115,-2.780,stop_hit_daily_approx,40,Q1,26,Q1,40,Q1,40,Q1,30,Q1,40,Q1,26,Q1
2026-05-11,ABCAPITAL,,AVOID / NO TRADE,AVOID,,70.700,16,10,55.700,-5.930,false,false,false,false,true,-3.520,-1.131,-1.004,2.828,4.029,-4.015,not_triggered,70.700,Q5,54.700,Q5,70.700,Q5,70.700,Q5,60.700,Q5,70.700,Q5,54.700,Q4
2026-05-11,ABSLAMC,,AVOID / NO TRADE,AVOID,,63.600,16,10,57.600,-5.560,false,false,false,false,true,-0.556,0.679,-6.956,-4.222,1.433,-7.719,not_triggered,63.600,Q4,47.600,Q2,63.600,Q5,63.600,Q4,53.600,Q4,63.600,Q4,47.600,Q3
2026-05-11,ADANIENSOL,,WATCHLIST,WATCHLIST,,64.300,11,10,60.100,-8.120,false,false,false,false,false,-4.499,-1.911,-1.227,4.424,15.913,-8.046,entry_reached_no_resolution,64.300,Q4,53.300,Q4,64.300,Q5,64.300,Q4,54.300,Q4,64.300,Q4,53.300,Q4
2026-05-11,ADANIENT,,AVOID / NO TRADE,AVOID,,58.900,10,10,72.500,-4.280,false,false,false,false,true,-3.830,8.473,7.549,13.942,21.052,-4.034,target1_hit_daily_approx,58.900,Q3,48.900,Q3,50.900,Q2,58.900,Q3,48.900,Q3,58.900,Q3,40.900,Q2
2026-05-11,ADANIGREEN,,WATCHLIST,WATCHLIST,,62.100,13,10,84.100,-0.500,true,true,false,false,false,-5.967,1.718,-1.582,1.445,9.130,-7.160,stop_hit_daily_approx,62.100,Q4,49.100,Q3,40.100,Q1,62.100,Q4,52.100,Q4,62.100,Q4,27.100,Q1
2026-05-11,ADANIPORTS,,WATCHLIST,WATCHLIST,,64.600,22,10,75.300,-1.420,false,true,false,false,false,-4.432,0.391,1.200,2.061,4.319,-4.716,entry_reached_no_resolution,64.600,Q4,42.600,Q1,48.600,Q2,64.600,Q4,54.600,Q4,64.600,Q4,26.600,Q1
2026-05-11,ADANIPOWER,,WATCHLIST,WATCHLIST,,68.600,20,10,71.900,-4.960,false,false,false,false,false,-5.898,0.772,-1.558,4.763,13.413,-6.617,entry_reached_no_resolution,68.600,Q5,48.600,Q3,60.600,Q4,68.600,Q5,58.600,Q5,68.600,Q5,40.600,Q2
2026-05-11,AIAENG,,AVOID / NO TRADE,AVOID,,62.100,17,10,51.100,-7.160,false,false,false,false,true,-3.974,-1.286,-0.556,1.736,15.109,-5.250,target1_hit_daily_approx,62.100,Q4,45.100,Q2,62.100,Q4,62.100,Q4,52.100,Q4,62.100,Q4,45.100,Q3
2026-05-11,AJANTPHARM,,AVOID / NO TRADE,AVOID,,71.100,23,10,64.300,-5.480,false,false,false,false,true,1.327,6.817,5.339,0.993,8.642,-1.350,entry_reached_no_resolution,71.100,Q5,48.100,Q3,71.100,Q5,71.100,Q5,61.100,Q5,71.100,Q5,48.100,Q3
2026-05-11,ALKEM,,AVOID / NO TRADE,AVOID,,69.300,17,10,56.700,-5.870,false,false,false,false,true,-1.585,-0.152,-2.095,-3.303,0.958,-4.584,not_triggered,69.300,Q5,52.300,Q4,69.300,Q5,69.300,Q5,59.300,Q5,69.300,Q5,52.300,Q4
2026-05-11,ANANTRAJ,,WATCHLIST,WATCHLIST,,65,19,10,58.700,-27.430,false,false,false,false,false,-6.902,-8.394,-11.757,-5.966,2.483,-14.026,not_triggered,65,Q4,46,Q2,65,Q5,65,Q4,55,Q4,65,Q4,46,Q3
2026-05-11,ANGELONE,,AVOID / NO TRADE,AVOID,,70.700,22,10,62.500,-5.060,false,false,false,true,true,-5.943,-4.497,-4.418,8.947,10.377,-8.553,entry_reached_no_resolution,70.700,Q5,48.700,Q3,70.700,Q5,70.700,Q5,60.700,Q5,70.700,Q5,48.700,Q3
2026-05-11,APARINDS,,WAIT FOR CONFIRMATION,WAIT,,56.400,11,10,68,-0.320,false,false,false,false,false,-3.186,-1.041,-5.556,-3.023,5.525,-7.809,stop_hit_daily_approx,56.400,Q3,45.400,Q2,53.400,Q3,56.400,Q3,46.400,Q3,56.400,Q3,42.400,Q2
2026-05-11,APOLLOHOSP,,AVOID / NO TRADE,AVOID,,62.100,11,10,67.500,-0.800,false,false,false,false,true,-0.699,0.495,-0.724,4.023,4.506,-3.274,stop_hit_daily_approx,62.100,Q4,51.100,Q4,59.100,Q4,62.100,Q4,52.100,Q4,62.100,Q4,48.100,Q3
2026-05-11,APTUS,,AVOID / NO TRADE,AVOID,,67.100,17,10,76,-21.920,true,true,false,false,true,-3.536,-5.067,-9.536,-7.618,0.616,-11.858,stop_hit_daily_approx,67.100,Q5,50.100,Q3,48.100,Q2,67.100,Q5,57.100,Q5,67.100,Q5,31.100,Q1
2026-05-11,ARVIND,,WATCHLIST,WATCHLIST,,61.100,10,10,71.300,-3.630,false,false,false,false,false,-0.214,-0.892,6.694,8.872,13.094,-2.472,entry_reached_no_resolution,61.100,Q4,51.100,Q4,53.100,Q3,61.100,Q4,51.100,Q4,61.100,Q4,43.100,Q2
2026-05-11,ASTERDM,,AVOID / NO TRADE,AVOID,,61.400,9,10,64,-4.030,false,false,false,false,true,-1.171,1.028,2.199,1.069,5.081,-1.583,entry_reached_no_resolution,61.400,Q4,52.400,Q4,61.400,Q4,61.400,Q4,51.400,Q4,61.400,Q4,52.400,Q4
2026-05-11,ATGL,,AVOID / NO TRADE,AVOID,,65.700,16,10,54.300,-22.160,false,false,false,false,true,-4.813,-1.384,-1.787,6.109,33.612,-5.328,stop_hit_daily_approx,65.700,Q5,49.700,Q3,65.700,Q5,65.700,Q4,55.700,Q4,65.700,Q5,49.700,Q3
2026-05-11,ATUL,,AVOID / NO TRADE,AVOID,,65,21,10,56.800,-11.790,false,false,false,false,true,-0.269,1.456,0.182,2.467,4.367,-1.339,stop_hit_daily_approx,65,Q4,44,Q2,65,Q5,65,Q4,55,Q4,65,Q4,44,Q2
2026-05-11,AUROPHARMA,,WATCHLIST,WATCHLIST,,60.700,15,10,68.400,-2.270,false,false,false,false,false,0.622,2.157,1.454,-1.650,4.801,-3.448,stop_hit_daily_approx,60.700,Q4,45.700,Q2,57.700,Q4,60.700,Q3,50.700,Q4,60.700,Q4,42.700,Q2
