slice_type,slice_key,model,n,n_r5,pearson,spearman,q1_5d,q5_5d,q5_minus_q1,m6_vs_m0_delta_pearson,m6_vs_m0_delta_q5q1
full,ALL,M0,839,707,-0.2105,-0.2555,2.331,-1.496,-3.828,0.0000,0.0000
full,ALL,M1,839,707,-0.0112,0.0276,0.8789,0.8773,-0.0016,0.1993,3.826
full,ALL,M2,839,707,-0.1622,-0.2071,1.542,-1.250,-2.793,0.0483,1.035
full,ALL,M3,839,707,-0.1886,-0.2181,2.444,-1.281,-3.726,0.0220,0.1020
full,ALL,M5,839,707,-0.1995,-0.2427,2.235,-1.424,-3.659,0.0110,0.1691
full,ALL,M6,839,707,0.0525,0.0583,0.2083,1.227,1.019,0.2630,4.847
full,ALL,M6−fund,839,707,-0.1325,-0.1648,1.272,-1.368,-2.641,0.0780,1.187
full,ALL,M6−ext,839,707,0.0230,0.0683,0.7742,1.270,0.4958,0.2335,4.324
full,ALL,M6−leader,839,707,0.0336,0.0313,0.2766,0.7525,0.4759,0.2441,4.304
full,ALL,M6−rsweak,839,707,0.0444,0.0505,0.2864,1.174,0.8872,0.2549,4.715
full,ALL,M1+M2,839,707,0.0248,0.0226,0.4126,0.7079,0.2953,0.2353,4.123
full,ALL,M1+M3,839,707,0.0131,0.0588,0.8604,1.270,0.4097,0.2236,4.237
full,ALL,M1+M5,839,707,-0.0002,0.0381,0.7132,0.9228,0.2096,0.2103,4.037
full,ALL,M1+M2+M5,839,707,0.0336,0.0313,0.2766,0.7525,0.4759,0.2441,4.304
date,2026-05-11,M0,159,159,0.1289,0.1253,,,3.431,,
date,2026-05-11,M1,159,159,0.1081,0.0361,,,,,
date,2026-05-11,M1+M2+M5,159,159,-0.0077,-0.0494,,,,,
date,2026-05-11,M6,159,159,-0.0077,-0.0494,,,-1.045,,
date,2026-05-13,M0,111,111,-0.0626,-0.0604,,,0.5760,,
date,2026-05-13,M1,111,111,-0.0976,-0.0851,,,,,
date,2026-05-13,M1+M2+M5,111,111,-0.1495,-0.1735,,,,,
date,2026-05-13,M6,111,111,-0.1495,-0.1735,,,-2.829,,
date,2026-05-14,M0,118,118,-0.0076,-0.0285,,,0.0584,,
date,2026-05-14,M1,118,118,0.0005,-0.0511,,,,,
date,2026-05-14,M1+M2+M5,118,118,0.0790,0.0463,,,,,
date,2026-05-14,M6,118,118,0.0790,0.0463,,,1.454,,
date,2026-05-15,M0,10,10,0.1044,-0.0909,,,5.826,,
date,2026-05-15,M1,10,10,0.0815,-0.1273,,,,,
date,2026-05-15,M1+M2+M5,10,10,0.0392,-0.1273,,,,,
date,2026-05-15,M6,10,10,0.0392,-0.1273,,,5.571,,
date,2026-05-18,M0,98,98,-0.0497,-0.0747,,,0.0888,,
date,2026-05-18,M1,98,98,-0.0497,-0.0747,,,,,
date,2026-05-18,M1+M2+M5,98,98,-0.0418,-0.0744,,,,,
date,2026-05-18,M6,98,98,-0.0418,-0.0744,,,-0.2900,,
date,2026-05-19,M0,106,106,-0.1851,-0.1128,,,-1.310,,
date,2026-05-19,M1,106,106,-0.1293,-0.0296,,,,,
date,2026-05-19,M1+M2+M5,106,106,-0.0331,-0.0062,,,,,
date,2026-05-19,M6,106,106,-0.0208,0.0222,,,-0.9123,,
date,2026-05-20,M0,105,105,-0.1669,-0.1880,,,-2.172,,
date,2026-05-20,M1,105,105,-0.1082,-0.0644,,,,,
date,2026-05-20,M1+M2+M5,105,105,-0.0803,-0.0701,,,,,
date,2026-05-20,M6,105,105,-0.0803,-0.0701,,,-0.3633,,
date,2026-05-26,M0,132,0,,,,,,,
date,2026-05-26,M1,132,0,,,,,,,
date,2026-05-26,M1+M2+M5,132,0,,,,,,,
date,2026-05-26,M6,132,0,,,,,,,
sector,Capital Goods,M0,127,103,-0.3553,-0.4213,,,,,
sector,Capital Goods,M6,127,103,0.0471,0.0296,,,,0.4023,9.665
sector,Pharma,M0,107,90,0.0087,0.0879,,,,,
sector,Pharma,M6,107,90,0.1709,0.2014,,,,0.1622,1.677
sector,Financials,M0,104,92,-0.3316,-0.3195,,,,,
sector,Financials,M6,104,92,-0.0365,-0.0116,,,,0.2951,4.580
sector,Energy,M0,75,63,-0.4916,-0.4958,,,,,
sector,Energy,M6,75,63,0.0994,0.0821,,,,0.5910,14.768
sector,Chemicals,M0,58,47,-0.4263,-0.3953,,,,,
sector,Chemicals,M6,58,47,0.0827,0.0633,,,,0.5090,6.752
sector,Auto,M0,56,45,-0.3352,-0.4871,,,,,
sector,Auto,M6,56,45,-0.0226,0.0561,,,,0.3127,6.641
sector,FMCG,M0,47,40,0.0813,0.1207,,,,,
sector,FMCG,M6,47,40,0.2605,0.3005,,,,0.1792,2.101
sector,Banking,M0,47,40,-0.3989,-0.4576,,,,,
sector,Banking,M6,47,40,0.0457,0.0421,,,,0.4446,4.702
sector,Metals,M0,43,37,-0.1372,-0.2127,,,,,
sector,Metals,M6,43,37,0.0879,-0.1511,,,,0.2251,3.059
sector,Consumer Discretionary,M0,41,37,0.0354,-0.0019,,,,,
sector,Consumer Discretionary,M6,41,37,0.0985,0.0152,,,,0.0631,0.3684
sector,Healthcare,M0,27,21,0.5291,0.3381,,,,,
sector,Healthcare,M6,27,21,0.2142,0.0195,,,,-0.3150,-9.900
sector,Logistics,M0,26,22,0.0178,0.0802,,,,,
sector,Logistics,M6,26,22,-0.3925,-0.4554,,,,-0.4103,-3.450
sector,Cement,M0,16,15,-0.1128,0.0376,,,,,
sector,Cement,M6,16,15,0.1483,0.2967,,,,0.2611,5.826
action,WATCHLIST,M0,161,117,-0.0718,-0.0113,,,,,
action,WATCHLIST,M6,161,117,-0.0167,-0.0648,,,,0.0551,2.218
action,AVOID,M0,484,422,-0.2198,-0.2557,,,,,
action,AVOID,M6,484,422,-0.0326,-0.0047,,,,0.1872,3.746
action,WAIT,M0,194,168,-0.0675,-0.1634,,,,,
action,WAIT,M6,194,168,0.1750,0.1569,,,,0.2425,3.902
lodo_held,2026-05-11,M0,159,159,0.1289,,,,3.431,,
lodo_held,2026-05-11,M6,159,159,-0.0077,,,,-1.045,-0.1366,-4.476
lodo_held,2026-05-13,M0,111,111,-0.0626,,,,0.5760,,
lodo_held,2026-05-13,M6,111,111,-0.1495,,,,-2.829,-0.0870,-3.405
lodo_held,2026-05-14,M0,118,118,-0.0076,,,,0.0584,,
lodo_held,2026-05-14,M6,118,118,0.0790,,,,1.454,0.0866,1.396
lodo_held,2026-05-15,M0,10,10,0.1044,,,,5.826,,
lodo_held,2026-05-15,M6,10,10,0.0392,,,,5.571,-0.0652,-0.2543
lodo_held,2026-05-18,M0,98,98,-0.0497,,,,0.0888,,
lodo_held,2026-05-18,M6,98,98,-0.0418,,,,-0.2900,0.0079,-0.3788
lodo_held,2026-05-19,M0,106,106,-0.1851,,,,-1.310,,
lodo_held,2026-05-19,M6,106,106,-0.0208,,,,-0.9123,0.1643,0.3973
lodo_held,2026-05-20,M0,105,105,-0.1669,,,,-2.172,,
lodo_held,2026-05-20,M6,105,105,-0.0803,,,,-0.3633,0.0865,1.809
lodo_held,2026-05-26,M0,132,0,,,,,,,
lodo_held,2026-05-26,M6,132,0,,,,,,,
