slice_type,slice_key,model,n,n_r5,pearson,spearman,q1_5d,q5_5d,q5_minus_q1,vs_b0_delta_pearson,vs_b0_delta_q5q1
full,ALL,B0,839,707,-0.2105,-0.2555,2.331,-1.496,-3.828,0.0000,0.0000
full,ALL,B1,839,707,-0.0112,0.0276,0.8789,0.8773,-0.0016,0.1993,3.826
full,ALL,B2,839,707,0.0248,0.0226,0.4126,0.7079,0.2953,0.2353,4.123
full,ALL,B3,839,707,0.0336,0.0313,0.2766,0.7525,0.4759,0.2441,4.304
full,ALL,B4,839,707,0.0567,0.0519,0.2485,0.9824,0.7339,0.2672,4.562
full,ALL,B5,839,707,0.0645,0.0601,0.2112,1.117,0.9060,0.2750,4.734
full,ALL,M6,839,707,0.0525,0.0583,0.2083,1.227,1.019,0.2630,4.847
date,2026-05-11,B0,159,159,0.1289,,,,3.431,,
date,2026-05-11,B1,159,159,0.1081,,,,1.429,,
date,2026-05-11,B2,159,159,-0.0163,,,,-0.8264,,
date,2026-05-11,B3,159,159,-0.0077,,,,-1.045,,
date,2026-05-11,B4,159,159,-0.0163,,,,-0.8264,,
date,2026-05-11,B5,159,159,-0.0077,,,,-1.045,,
date,2026-05-13,B0,111,111,-0.0626,,,,0.5760,,
date,2026-05-13,B1,111,111,-0.0976,,,,-1.643,,
date,2026-05-13,B2,111,111,-0.1495,,,,-2.829,,
date,2026-05-13,B3,111,111,-0.1495,,,,-2.829,,
date,2026-05-13,B4,111,111,-0.1495,,,,-2.829,,
date,2026-05-13,B5,111,111,-0.1495,,,,-2.829,,
date,2026-05-14,B0,118,118,-0.0076,,,,0.0584,,
date,2026-05-14,B1,118,118,0.0005,,,,0.7817,,
date,2026-05-14,B2,118,118,0.0790,,,,1.454,,
date,2026-05-14,B3,118,118,0.0790,,,,1.454,,
date,2026-05-14,B4,118,118,0.0790,,,,1.454,,
date,2026-05-14,B5,118,118,0.0790,,,,1.454,,
date,2026-05-15,B0,10,10,0.1044,,,,5.826,,
date,2026-05-15,B1,10,10,0.0815,,,,5.571,,
date,2026-05-15,B2,10,10,0.0392,,,,5.571,,
date,2026-05-15,B3,10,10,0.0392,,,,5.571,,
date,2026-05-15,B4,10,10,0.0392,,,,5.571,,
date,2026-05-15,B5,10,10,0.0392,,,,5.571,,
date,2026-05-18,B0,98,98,-0.0497,,,,0.0888,,
date,2026-05-18,B1,98,98,-0.0497,,,,0.0888,,
date,2026-05-18,B2,98,98,-0.0418,,,,-0.2900,,
date,2026-05-18,B3,98,98,-0.0418,,,,-0.2900,,
date,2026-05-18,B4,98,98,-0.0418,,,,-0.2900,,
date,2026-05-18,B5,98,98,-0.0418,,,,-0.2900,,
date,2026-05-19,B0,106,106,-0.1851,,,,-1.310,,
date,2026-05-19,B1,106,106,-0.1293,,,,-0.4875,,
date,2026-05-19,B2,106,106,-0.0363,,,,-0.3420,,
date,2026-05-19,B3,106,106,-0.0331,,,,-0.3420,,
date,2026-05-19,B4,106,106,-0.0363,,,,-0.3420,,
date,2026-05-19,B5,106,106,-0.0331,,,,-0.3420,,
date,2026-05-20,B0,105,105,-0.1669,,,,-2.172,,
date,2026-05-20,B1,105,105,-0.1082,,,,-1.783,,
date,2026-05-20,B2,105,105,-0.0803,,,,-0.3633,,
date,2026-05-20,B3,105,105,-0.0803,,,,-0.3633,,
date,2026-05-20,B4,105,105,-0.0091,,,,0.2820,,
date,2026-05-20,B5,105,105,-0.0091,,,,0.2820,,
date,2026-05-26,B0,132,0,,,,,,,
date,2026-05-26,B1,132,0,,,,,,,
date,2026-05-26,B2,132,0,,,,,,,
date,2026-05-26,B3,132,0,,,,,,,
