symbol,name,signal_date,opened_ist,exited_ist,days_held,qty,entry,exit,stop,capital_deployed,gross_pnl,charges,net_pnl,r_multiple,exit_reason
RBLBANK,"RBL Bank Limited",2026-04-29,2026-04-29,2026-04-30,1,727,343.45,341.2,324.2749,249688.15,-1635.75,569.15,-2204.90,-0.12,MANUAL_OVERRIDE
GODREJPROP,"Godrej Properties Limited",2026-05-04,2026-05-04,2026-05-05,1,130,1912.7,1815.7209,1815.7209,248651.00,-12607.28,555.48,-13162.76,-1.00,STOPPED
CROMPTON,"Crompton Greaves Consumer Electricals Limited",2026-04-29,2026-04-29,2026-05-08,9,898,278.25,294.35,262.9701,249868.50,14457.80,586.23,13871.57,1.05,MANUAL_OVERRIDE
JINDALSTEL,"Jindal Steel Limited",2026-05-04,2026-05-04,2026-05-08,4,197,1262.9,1240.9,1202.8032,248791.30,-4334.00,564.37,-4898.37,-0.37,MANUAL_OVERRIDE
LAURUSLABS,"Laurus Labs Limited",2026-05-04,2026-05-04,2026-05-08,4,214,1166.3,1226.9,1111.1534,249588.20,12968.40,584.07,12384.33,1.10,MANUAL_OVERRIDE
MARICO,"Marico Limited",2026-05-05,2026-05-05,2026-05-08,3,301,789.05,827.6,759.5926,237504.05,11603.55,555.80,11047.75,1.31,MANUAL_OVERRIDE
CIPLA,"Cipla Limited",2026-05-13,2026-05-13,2026-05-14,1,199,1279.1,1424.5743,1230.6086,254540.90,28949.39,611.63,28337.76,3.00,TARGET2_HIT
HAL,"Hindustan Aeronautics Limited",2026-05-14,2026-05-14,2026-05-15,1,45,4649,4436.2943,4436.2943,209205.00,-9571.76,470.96,-10042.72,-1.00,STOPPED
JSWSTEEL,"JSW Steel Limited",2026-05-15,2026-05-15,2026-05-18,3,53,1314,1271.6463,1271.6463,69642.00,-2244.75,168.38,-2413.13,-1.00,STOPPED
ZEEL,"Zee Entertainment Enterprises Limited",2026-05-27,2026-05-27,2026-05-27,0,2,83.7,89.34,81.82,167.40,11.28,16.31,-5.03,3.00,TARGET2_HIT
GRASIM,"Grasim Industries Limited",2026-05-14,2026-05-14,2026-06-01,18,1,2910.3,3105.3074,3105.3074,2910.30,195.01,22.60,172.41,1.00,TRAIL_STOP_HIT
GRASIM,"Grasim Industries Limited",2026-05-15,2026-05-15,2026-06-01,17,70,2938.9,3120.4148,3120.4148,205723.00,12706.04,486.31,12219.73,1.00,TRAIL_STOP_HIT
NMDC,"NMDC Limited",2026-06-01,2026-06-01,2026-06-04,3,3,89.1,94.54,94.54,267.30,16.32,16.54,-0.22,1.00,TRAIL_STOP_HIT
