indexSymbol,strategyName,signalSource,setupKey,direction,optionType,strike,entryAt,exitAt,entrySpot,exitSpot,optionEntry,optionExit,lots,lotSize,qty,pnl,exitReason,confidence,tier,regime,modeled
NIFTY,,ENGINE,EMA_PULLBACK,BULLISH,CALL,24100,2026-04-27T11:44:03.331Z,2026-04-27T11:44:03.903Z,,24110.1992,,,1,75,75,,EXPIRED_TRIGGERED,65,HIGH_CONVICTION,,false
SENSEX,,ENGINE,EMA_PULLBACK,BULLISH,CALL,77300,2026-04-27T11:44:03.741Z,2026-04-27T11:44:03.903Z,,77303.5625,,,1,10,10,,EXPIRED_TRIGGERED,65,HIGH_CONVICTION,,false
NIFTY,,ENGINE,EMA_PULLBACK,BULLISH,CALL,24100,2026-04-27T19:09:15.543Z,2026-04-28T10:59:09.410Z,,24110.1992,,,1,75,75,,EXPIRED_TRIGGERED,65,HIGH_CONVICTION,,false
SENSEX,,ENGINE,EMA_PULLBACK,BULLISH,CALL,77300,2026-04-27T19:09:15.994Z,2026-04-28T10:59:09.410Z,,77303.5625,,,1,10,10,,EXPIRED_TRIGGERED,65,HIGH_CONVICTION,,false
NIFTY,,ENGINE,BASELINE,BEARISH,PUT,24050,2026-04-28T07:01:59.343Z,2026-04-28T10:59:09.410Z,,24016.5,,,1,75,75,,EXPIRED_TRIGGERED,50,BASELINE,,false
BANKNIFTY,,ENGINE,BASELINE,BEARISH,PUT,55700,2026-04-28T06:00:53.412Z,2026-04-28T06:54:33.129Z,,55631.75,,,1,30,30,,TARGET2_HIT,50,BASELINE,,false
SENSEX,,ENGINE,BASELINE,BEARISH,PUT,77400,2026-04-28T07:11:23.735Z,2026-04-28T10:59:09.410Z,,76886.6719,,,1,10,10,,EXPIRED_TRIGGERED,50,BASELINE,,false
BANKNIFTY,,ENGINE,BASELINE,BEARISH,PUT,55900,2026-04-29T09:52:11.229Z,2026-04-29T10:00:59.388Z,,55329.8516,,,1,30,30,,EXPIRED_TRIGGERED,55,BASELINE,,false
BANKNIFTY,,ENGINE,TREND_CONTINUATION,BEARISH,PUT,55600,2026-04-29T09:49:48.966Z,2026-04-29T10:00:59.388Z,,55329.8516,,,1,30,30,,EXPIRED_TRIGGERED,68,HIGH_CONVICTION,,false
NIFTY,,ENGINE,TREND_CONTINUATION,BEARISH,PUT,24150,2026-04-29T09:56:57.214Z,2026-04-29T10:00:59.388Z,,24162.4492,,,1,75,75,,EXPIRED_TRIGGERED,60,HIGH_CONVICTION,,false
