entry_time,exit_time,direction,outcome,entry_spot,exit_spot,entry_prem,exit_prem,gross,costs,net,hour
2024-06-07 12:30:00,2024-06-07 13:15:00,LONG,STOPPED,49865.6,49684.99533232187,199.46,109.16,-3160.58,68.25,-3228.83,12
2024-06-10 13:45:00,2024-06-10 14:15:00,LONG,STOPPED,50088.6,49938.3342,200.35,125.22,-2629.65,72.52,-2702.17,13
2024-06-14 09:30:00,2024-06-14 09:45:00,SHORT,STOPPED,49702.15,49851.25645,198.81,124.26,-2609.36,71.96,-2681.32,9
2024-06-14 11:00:00,2024-06-14 15:15:00,LONG,TIME_EXIT,50061.75,49981.5,200.25,160.12,-1404.38,81.37,-1485.75,11
2024-06-18 13:45:00,2024-06-18 15:15:00,LONG,TIME_EXIT,50394.4,50479.3,201.58,244.03,1485.75,102.99,1382.76,13
2024-06-19 09:15:00,2024-06-19 10:30:00,LONG,STOPPED,50762.2,50609.9134,203.05,126.91,-2665.02,73.49,-2738.51,9
2024-06-19 10:45:00,2024-06-19 14:00:00,LONG,T1,51028.0,51538.28,204.11,459.25,8929.9,158.26,8771.64,10
2024-06-19 14:15:00,2024-06-19 14:45:00,LONG,STOPPED,51701.05,51538.51855351211,206.8,125.54,-2844.3,73.91,-2918.21,14
2024-06-19 15:15:00,2024-06-19 15:15:00,LONG,TIME_EXIT,51450.1,51450.1,205.8,205.8,0.0,94.12,-94.12,15
2024-06-20 10:15:00,2024-06-20 15:15:00,LONG,TIME_EXIT,51477.75,51760.75,205.91,347.41,4952.5,130.17,4822.33,10
2024-06-25 09:15:00,2024-06-25 12:30:00,LONG,T1,51891.0,52409.91,207.56,467.02,9080.93,160.93,8919.99,9
2024-06-25 12:45:00,2024-06-25 15:15:00,LONG,TIME_EXIT,52451.65,52630.15,209.81,299.06,3123.75,118.66,3005.09,12
2024-06-27 10:15:00,2024-06-27 10:30:00,LONG,STOPPED,53070.5,52911.2885,212.28,132.68,-2786.2,76.84,-2863.04,10
2024-06-27 11:00:00,2024-06-27 13:45:00,LONG,STOPPED,52950.05,52789.187654616675,211.8,131.37,-2815.09,76.4,-2891.5,11
2024-07-01 09:15:00,2024-07-01 09:30:00,SHORT,STOPPED,52281.6,52438.4448,209.13,130.7,-2744.78,75.69,-2820.48,9
2024-07-01 10:00:00,2024-07-01 11:15:00,SHORT,STOPPED,52396.1,52553.2883,209.58,130.99,-2750.8,75.86,-2826.65,10
2024-07-02 09:30:00,2024-07-02 10:00:00,SHORT,STOPPED,52209.1,52365.7273,208.84,130.52,-2740.98,75.59,-2816.57,9
