entry_time,exit_time,direction,outcome,entry_spot,exit_spot,entry_prem,exit_prem,gross,costs,net,hour
2024-06-07 09:15:00,2024-06-07 11:30:00,LONG,T1,75375.43,76129.1843,301.5,678.38,7537.54,133.0,7404.55,9
2024-06-07 11:45:00,2024-06-07 15:15:00,LONG,TIME_EXIT,76374.86,76600.83,305.5,418.48,2259.7,95.83,2163.87,11
2024-06-11 13:45:00,2024-06-11 14:15:00,LONG,STOPPED,76812.76,76582.32171999999,307.25,192.03,-2304.38,63.25,-2367.63,13
2024-06-12 09:30:00,2024-06-12 15:15:00,LONG,STOPPED,76804.15,76573.73754999999,307.22,192.01,-2304.12,63.24,-2367.37,9
2024-06-13 10:00:00,2024-06-13 15:15:00,LONG,TIME_EXIT,76901.48,76823.75,307.61,268.74,-777.3,74.4,-851.7,10
2024-06-14 10:30:00,2024-06-14 15:15:00,LONG,TIME_EXIT,76939.13,76956.07,307.76,316.23,169.4,81.29,88.11,10
2024-06-18 09:30:00,2024-06-18 15:15:00,LONG,TIME_EXIT,77269.96,77322.07,309.08,335.13,521.1,84.18,436.92,9
2024-06-19 09:30:00,2024-06-19 10:15:00,LONG,STOPPED,77469.91,77237.50027,309.88,193.67,-2324.1,63.79,-2387.89,9
2024-06-19 11:00:00,2024-06-19 15:15:00,LONG,TIME_EXIT,77266.52,77343.22,309.07,347.42,767.0,85.95,681.05,11
2024-06-20 12:45:00,2024-06-20 15:15:00,LONG,TIME_EXIT,77421.75,77508.82,309.69,353.22,870.7,86.87,783.83,12
2024-06-21 13:30:00,2024-06-21 13:45:00,SHORT,STOPPED,77046.91,77278.05073,308.19,192.62,-2311.41,63.44,-2374.85,13
2024-06-21 15:00:00,2024-06-21 15:15:00,SHORT,TIME_EXIT,77141.17,77070.32,308.56,343.99,708.5,85.4,623.1,15
2024-06-24 10:15:00,2024-06-24 11:00:00,SHORT,STOPPED,77039.88,77270.99964000001,308.16,192.6,-2311.2,63.44,-2374.63,10
2024-06-24 15:15:00,2024-06-24 15:15:00,LONG,TIME_EXIT,77369.31,77369.31,309.48,309.48,0.0,80.51,-80.51,15
2024-06-25 09:30:00,2024-06-25 15:15:00,LONG,TIME_EXIT,77566.9,78064.48,310.27,559.06,4975.8,116.73,4859.07,9
2024-06-26 09:45:00,2024-06-26 15:15:00,LONG,TIME_EXIT,78022.05,78575.1,312.09,588.61,5530.5,121.22,5409.28,9
2024-06-27 10:00:00,2024-06-27 10:30:00,LONG,STOPPED,78954.87,78718.00538999999,315.82,197.39,-2368.65,65.01,-2433.66,10
2024-06-27 10:45:00,2024-06-27 15:15:00,LONG,TIME_EXIT,78754.36,79250.58,315.02,563.13,4962.2,117.87,4844.33,10
2024-06-28 09:15:00,2024-06-28 12:15:00,LONG,STOPPED,79530.41,79291.81877,318.12,198.83,-2385.91,65.49,-2451.4,9
2024-07-01 13:45:00,2024-07-01 15:15:00,LONG,TIME_EXIT,79474.8,79420.35,317.9,290.67,-544.5,78.76,-623.26,13
