section,category,name,symbol,extra_1,extra_2,source,auth_required,notes
DATA_SOURCE,PRIMARY,Kite Connect (Zerodha),-,"Live LTP/OHLC, Option Chain, WebSocket ticks",Full NSE EQ instrument master,kite.zerodha.com,YES — daily login + API key/secret,Real-time NSE/BSE; broker grade; user must complete daily Kite login from the Live Feed page
DATA_SOURCE,FALLBACK,Yahoo Finance,-,"Delayed quotes (15 min), historical OHLC, fundamentals (PE/MCAP), financial statements","Global indices, commodities, ADRs, FX",query1.finance.yahoo.com,"NO — public, rate-limited","Used when Kite is not authenticated; powers Indices board, ADRs, commodities, financial statements"
DATA_SOURCE,SUPPLEMENTAL,NSE Direct (FII/DII + Participant OI),-,"Daily FII/DII cash flows, Participant-wise OI (FII/DII/Pro/Client), Pre-market data, Market status",Holiday calendar,www.nseindia.com,NO — uses browser headers,NSE blocks non-Indian cloud IPs; works in production from Indian region
DATA_SOURCE,SUPPLEMENTAL,NSE Bhavcopy (archive CSV),-,"End-of-day delivery % per security, full active symbol list",-,archives.nseindia.com,NO — public CSV,Drives the Full NSE scanner universe (~2475 symbols) and delivery-% enrichment
DATA_SOURCE,SUPPLEMENTAL,NiftyTrader,-,Historical FII/DII net values (~1 year),-,webapi.niftytrader.in,NO,Used for the FII/DII history chart on the flows page
DATA_SOURCE,SUPPLEMENTAL,News RSS feeds,-,Market/economy/results headlines,-,"Moneycontrol, Mint, ET Markets, CNBC TV18",NO,Aggregated for the news strip / news page
INDICES_BOARD,INDIA,NIFTY 50,^NSEI,NIFTY50,,Yahoo Finance,NO,
INDICES_BOARD,INDIA,BANK NIFTY,^NSEBANK,BANKNIFTY,,Yahoo Finance,NO,
INDICES_BOARD,INDIA,FIN NIFTY,NIFTY_FIN_SERVICE.NS,FINNIFTY,,Yahoo Finance,NO,
INDICES_BOARD,INDIA,MIDCAP NIFTY,NIFTY_MID_SELECT.NS,MIDCPNIFTY,,Yahoo Finance,NO,
INDICES_BOARD,INDIA,SENSEX,^BSESN,SENSEX,,Yahoo Finance,NO,
INDICES_BOARD,GLOBAL,GIFT NIFTY (proxy),^NSEI,GIFTNIFTY,,Yahoo Finance,NO,
INDICES_BOARD,GLOBAL,S&P 500,^GSPC,SP500,,Yahoo Finance,NO,
INDICES_BOARD,GLOBAL,NASDAQ,^IXIC,NASDAQ,,Yahoo Finance,NO,
INDICES_BOARD,GLOBAL,Dow Jones,^DJI,DOWJONES,,Yahoo Finance,NO,
INDICES_BOARD,GLOBAL,FTSE 100,^FTSE,FTSE100,,Yahoo Finance,NO,
INDICES_BOARD,GLOBAL,DAX,^GDAXI,DAX,,Yahoo Finance,NO,
INDICES_BOARD,GLOBAL,Nikkei 225,^N225,NIKKEI225,,Yahoo Finance,NO,
INDICES_BOARD,GLOBAL,Hang Seng,^HSI,HANGSENG,,Yahoo Finance,NO,
INDICES_BOARD,GLOBAL,Shanghai Comp.,000001.SS,SHANGHAI,,Yahoo Finance,NO,
INDICES_BOARD,GLOBAL,VIX (Volatility),^VIX,VIX,,Yahoo Finance,NO,
INDICES_BOARD,COMMODITY,Gold,GC=F,GOLD,,Yahoo Finance,NO,
INDICES_BOARD,COMMODITY,Silver,SI=F,SILVER,,Yahoo Finance,NO,
INDICES_BOARD,COMMODITY,Crude Oil (WTI),CL=F,CRUDE_WTI,,Yahoo Finance,NO,
INDICES_BOARD,COMMODITY,Brent Oil,BZ=F,CRUDE_BRENT,,Yahoo Finance,NO,
INDICES_BOARD,ADR,Infosys (INFY),INFY,ADR_INFY,,Yahoo Finance,NO,
INDICES_BOARD,ADR,HDFC Bank (HDB),HDB,ADR_HDB,,Yahoo Finance,NO,
INDICES_BOARD,ADR,ICICI Bank (IBN),IBN,ADR_IBN,,Yahoo Finance,NO,
INDICES_BOARD,ADR,Wipro (WIT),WIT,ADR_WIT,,Yahoo Finance,NO,
INDICES_BOARD,ADR,Dr. Reddy's (RDY),RDY,ADR_RDY,,Yahoo Finance,NO,
INDICES_BOARD,ADR,MakeMyTrip (MMYT),MMYT,ADR_MMYT,,Yahoo Finance,NO,
INDICES_BOARD,FX,USD / INR,INR=X,USDINR,,Yahoo Finance,NO,
INDICES_BOARD,FX,Dollar Index,DX-Y.NYB,DXY,,Yahoo Finance,NO,
WATCHLIST,SENSEX_30,RELIANCE,RELIANCE.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,SENSEX_30,TCS,TCS.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,SENSEX_30,HDFCBANK,HDFCBANK.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,SENSEX_30,ICICIBANK,ICICIBANK.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,SENSEX_30,INFY,INFY.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,SENSEX_30,HINDUNILVR,HINDUNILVR.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,SENSEX_30,ITC,ITC.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,SENSEX_30,SBIN,SBIN.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,SENSEX_30,BHARTIARTL,BHARTIARTL.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,SENSEX_30,KOTAKBANK,KOTAKBANK.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,SENSEX_30,LT,LT.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,SENSEX_30,HCLTECH,HCLTECH.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,SENSEX_30,ASIANPAINT,ASIANPAINT.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,SENSEX_30,AXISBANK,AXISBANK.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,SENSEX_30,MARUTI,MARUTI.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,SENSEX_30,SUNPHARMA,SUNPHARMA.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,SENSEX_30,TITAN,TITAN.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,SENSEX_30,BAJFINANCE,BAJFINANCE.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,SENSEX_30,NTPC,NTPC.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,SENSEX_30,ULTRACEMCO,ULTRACEMCO.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,SENSEX_30,NESTLEIND,NESTLEIND.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,SENSEX_30,M&M,M&M.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,SENSEX_30,POWERGRID,POWERGRID.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,SENSEX_30,TATASTEEL,TATASTEEL.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,SENSEX_30,TECHM,TECHM.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,SENSEX_30,JSWSTEEL,JSWSTEEL.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,SENSEX_30,INDUSINDBK,INDUSINDBK.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,SENSEX_30,BAJAJFINSV,BAJAJFINSV.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,SENSEX_30,ADANIPORTS,ADANIPORTS.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,SENSEX_30,TATAMOTORS,TATAMOTORS.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,BANK_NIFTY,HDFCBANK,HDFCBANK.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,BANK_NIFTY,ICICIBANK,ICICIBANK.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,BANK_NIFTY,SBIN,SBIN.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,BANK_NIFTY,KOTAKBANK,KOTAKBANK.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,BANK_NIFTY,AXISBANK,AXISBANK.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,BANK_NIFTY,INDUSINDBK,INDUSINDBK.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,BANK_NIFTY,BANKBARODA,BANKBARODA.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,BANK_NIFTY,FEDERALBNK,FEDERALBNK.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,BANK_NIFTY,IDFCFIRSTB,IDFCFIRSTB.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,BANK_NIFTY,AUBANK,AUBANK.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,BANK_NIFTY,PNB,PNB.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,BANK_NIFTY,CANBK,CANBK.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,NIFTY_50,RELIANCE,RELIANCE.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,NIFTY_50,TCS,TCS.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,NIFTY_50,HDFCBANK,HDFCBANK.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,NIFTY_50,ICICIBANK,ICICIBANK.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,NIFTY_50,INFY,INFY.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,NIFTY_50,HINDUNILVR,HINDUNILVR.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,NIFTY_50,ITC,ITC.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,NIFTY_50,SBIN,SBIN.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,NIFTY_50,BHARTIARTL,BHARTIARTL.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,NIFTY_50,KOTAKBANK,KOTAKBANK.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,NIFTY_50,LT,LT.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,NIFTY_50,HCLTECH,HCLTECH.NS,,,Kite primary / Yahoo fallback,PARTIAL,
WATCHLIST,NIFTY_50,ASIANPAINT,ASIANPAINT.NS,,,Kite primary / Yahoo fallback,PARTIAL,
